Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A01   Febres tifoide e paratifoide";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A02   Outr infecc p/Salmonella";-;-;-;-;2;-;-;1;-;2;1;-;-;-;-;-;-;-;1;3;1;-;1;-;-;-;-;12
"A03   Shiguelose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"A04   Outr infecc intestinais bacter";1;-;11;3;36;2;5;28;19;37;17;22;15;11;3;42;51;10;19;132;26;30;40;3;10;6;7;586
"A05   Outr intox alimentares bacter NCOP";-;-;1;1;1;-;-;1;-;2;2;-;1;2;-;2;-;-;1;2;-;-;-;-;-;-;-;16
"A06   Amebiase";-;3;-;-;1;2;2;2;2;5;3;2;3;1;-;6;4;-;-;8;2;4;1;-;-;3;-;54
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;5
"A08   Infecc intestinais virais outr e as NE";-;-;5;-;6;2;1;8;1;6;11;6;8;4;2;10;10;-;5;18;4;4;8;-;1;1;-;121
"A09   Diarreia e gastroenterite orig infecc presum";12;23;124;32;158;10;24;113;111;289;92;77;290;82;65;282;357;56;215;724;174;83;174;69;67;91;42;3836
"A15   Tuberc respirat c/conf bacteriol e histolog";4;6;83;6;74;4;5;78;13;68;5;13;73;8;6;98;42;16;125;162;47;23;101;11;25;22;2;1120
"A16   Tuberc vias respirat s/conf bacter histol";19;19;62;2;132;5;7;69;32;144;78;56;274;53;37;200;165;50;564;597;67;37;165;45;26;37;19;2961
"A17   Tuberc do sist nervoso";-;1;4;1;1;-;-;1;1;4;-;1;7;2;-;2;7;-;8;27;5;4;12;-;2;2;1;93
"A18   Tuberc de outr orgaos";-;-;11;-;1;-;-;3;-;8;1;-;7;2;-;9;13;1;14;21;3;-;10;-;1;2;1;108
"A19   Tuberc miliar";-;1;6;-;5;-;-;7;2;8;3;7;29;1;1;2;8;6;28;102;4;7;13;-;4;5;-;249
"A21   Tularemia";-;-;-;-;-;-;-;2;-;-;-;2;1;-;-;-;2;-;1;4;-;-;2;-;-;-;-;14
"A22   Carbunculo";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;4
"A24   Mormo e melioidose";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A25   Febres transm p/mordedura de rato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A26   Erisipeloide";-;3;-;-;-;-;-;-;1;1;-;-;-;-;-;1;2;-;2;3;-;-;2;1;1;-;-;17
"A27   Leptospirose";2;3;6;-;18;7;-;4;-;12;5;3;22;6;6;9;8;4;37;67;14;5;19;-;3;8;3;271
"A30   Hanseniase";-;2;5;1;8;-;7;10;6;9;-;1;8;-;1;13;14;1;7;12;4;1;1;1;8;11;1;132
"A31   Infecc dev outr micobacterias";-;-;2;-;11;-;-;2;2;42;2;50;2;2;-;22;18;2;2;61;9;11;9;-;3;3;-;255
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;3
"A35   Outr tipos de tetano";4;1;1;-;6;1;-;13;1;2;-;-;3;1;1;4;8;2;2;6;9;3;7;-;3;1;-;79
