Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A02   Outr infecc p/Salmonella";1;1;1;-;1;-;-;-;-;1;-;-;1;-;-;1;1;-;-;3;1;1;1;-;-;2;-;16
"A04   Outr infecc intestinais bacter";1;4;18;3;44;1;5;59;21;59;76;28;30;16;8;98;81;8;28;234;68;31;58;17;15;33;12;1056
"A05   Outr intox alimentares bacter NCOP";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;1;3;-;1;5;-;-;-;1;2;1;1;19
"A06   Amebiase";1;-;-;-;-;-;-;2;-;-;3;3;1;2;-;6;3;-;1;3;1;-;2;-;1;1;1;31
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;3
"A08   Infecc intestinais virais outr e as NE";-;-;5;-;4;1;1;5;-;4;3;2;14;3;-;13;13;1;6;17;4;1;8;1;1;4;2;113
"A09   Diarreia e gastroenterite orig infecc presum";13;17;127;26;104;6;9;74;85;169;49;35;216;65;60;167;236;52;141;596;122;60;160;34;40;64;40;2767
"A15   Tuberc respirat c/conf bacteriol e histolog";20;3;102;4;73;4;4;74;32;88;6;31;87;12;1;69;76;37;133;275;88;38;70;27;33;36;2;1425
"A16   Tuberc vias respirat s/conf bacter histol";19;16;39;10;154;4;2;84;34;99;60;36;230;48;39;284;176;59;698;634;58;59;243;52;38;46;25;3246
"A17   Tuberc do sist nervoso";-;-;1;-;3;-;-;-;5;3;2;2;9;2;2;3;7;3;10;28;9;5;12;5;2;3;2;118
"A18   Tuberc de outr orgaos";-;1;4;-;3;-;1;2;-;5;4;-;5;-;-;8;8;1;8;25;4;1;5;1;-;2;1;89
"A19   Tuberc miliar";1;1;6;3;13;-;1;9;3;9;1;4;13;4;1;12;11;3;34;59;10;10;16;4;10;3;1;242
"A21   Tularemia";-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;3;2;-;1;6;-;-;1;2;-;-;-;19
"A22   Carbunculo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A23   Brucelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A24   Mormo e melioidose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"A25   Febres transm p/mordedura de rato";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;1;1;2;-;-;2;-;-;2;1;1;2;4;-;-;-;-;-;-;-;16
"A27   Leptospirose";-;1;4;-;12;1;-;2;1;8;1;1;38;3;3;15;10;3;20;51;20;10;17;-;-;2;2;225
"A28   Outr doenc bacter zoonoticas NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"A30   Hanseniase";3;1;3;1;10;-;6;15;-;9;2;1;6;3;2;20;9;1;5;12;10;-;1;-;9;12;1;142
"A31   Infecc dev outr micobacterias";2;1;1;-;23;2;1;5;1;42;50;146;8;12;1;15;16;-;5;42;6;5;4;3;1;1;-;393
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;1;1;2;-;-;-;-;-;9
"A35   Outr tipos de tetano";-;1;1;-;2;3;-;4;1;2;-;-;5;-;1;3;6;-;1;2;2;5;10;-;4;2;-;55
"A36   Difteria";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A37   Coqueluche";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A38   Escarlatina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;3
"A39   Infecc meningogocica";-;1;4;-;2;-;1;1;1;3;-;1;4;-;-;3;4;3;13;21;1;2;3;-;1;-;-;69
"A40   Septicemia estreptococica";1;-;-;-;4;1;1;5;1;12;2;7;2;6;-;3;16;1;2;10;1;3;2;-;2;-;-;82
"A41   Outr septicemias";159;67;272;31;627;64;85;650;273;1085;339;611;1170;390;163;1369;3050;145;4388;4998;811;755;1229;178;251;360;100;23620
"A42   Actinomicose";-;-;-;-;1;-;-;3;-;1;-;-;1;1;-;2;9;-;1;3;1;-;-;1;-;-;-;24
"A43   Nocardiose";-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;6
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;11;-;3;-;-;1;1;-;1;3;3;-;-;3;-;-;1;-;27
"A46   Erisipela";6;1;26;1;95;6;7;38;45;115;54;75;153;65;41;144;130;60;280;582;64;31;69;27;10;30;12;2167
"A48   Outr doenc bacter NCOP";1;-;7;-;233;-;-;9;4;4;2;6;27;5;-;13;20;-;12;82;14;4;5;5;42;4;9;508
"A49   Infecc bacter de localiz NE";2;-;3;1;27;-;-;9;12;35;12;7;10;15;1;19;31;3;22;70;10;11;30;3;7;5;1;346
"A50   Sifilis congen";5;2;10;-;10;7;-;2;8;5;6;2;11;3;1;12;16;-;39;22;2;2;17;1;3;8;1;195
"A51   Sifilis precoce";-;2;-;-;1;-;1;1;-;-;1;-;1;-;-;3;2;-;-;-;-;-;-;-;1;1;1;15
"A52   Sifilis tard";-;1;2;-;2;-;-;1;-;1;-;1;2;-;-;2;13;4;8;13;5;3;9;-;1;3;-;71
"A53   Outr form e as NE da sifilis";-;1;-;-;-;-;-;2;1;-;-;1;-;-;-;-;1;-;5;2;1;-;4;-;-;1;-;19
"A54   Infecc gonococica";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;-;-;-;5
"A60   Infecc anogenitais p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;3
"A63   Outr doenc de transm predom sexual NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;3
"A64   Doenc sexualmente transm NE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A65   Sifilis nao-venerea";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A67   Pinta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A68   Febres recorrentes";1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"A69   Outr infecc p/espiroquetas";-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;1;-;6
"A70   Infecc causadas p/Clamidia psittaci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A77   Febre maculosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;4;5;31;-;-;-;-;-;-;-;51
"A81   Infecc p/virus atipicos sist nervoso central";-;-;1;1;2;-;-;2;-;9;1;-;13;1;-;13;13;1;7;37;7;5;9;3;-;3;3;131
"A83   Encefalite p/virus transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2
"A85   Outr encefalites virais NCOP";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;4;2;1;-;-;-;-;-;-;11
"A86   Encefalite viral NE";1;2;1;-;6;1;-;2;1;4;3;5;7;2;1;9;17;3;20;32;12;11;12;-;4;6;2;164
"A87   Meningite viral";-;1;-;-;4;-;-;2;1;-;-;1;1;-;-;3;-;-;4;18;6;3;6;-;2;5;1;58
"A88   Outr infecc virais sist nervoso central NCOP";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A89   Infecc virais NE do sist nervoso central";1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;4;-;-;1;-;-;-;-;10
"A90   Dengue";-;4;6;-;3;-;3;1;2;9;2;6;10;3;-;2;12;-;7;43;21;6;6;17;7;31;6;207
"A91   Febre hemorragica dev virus do dengue";2;5;4;1;3;-;5;1;-;23;4;3;10;5;2;8;12;3;3;39;13;1;2;4;12;24;8;197
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;1;1;2;1;1;9;-;1;4;1;3;3;8;-;-;-;-;-;3;-;38
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;3;-;1;-;-;-;-;-;-;-;-;14
"A95   Febre amarela";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;8
"A96   Febre hemorragica p/arenavirus";-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;7
