Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A01   Febres tifoide e paratifoide";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A02   Outr infecc p/Salmonella";-;-;-;-;4;-;-;1;-;2;-;1;-;-;-;-;2;-;-;3;2;-;-;-;-;1;-;16
"A03   Shiguelose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A04   Outr infecc intestinais bacter";2;2;3;-;46;1;4;57;14;52;28;22;20;11;2;98;55;6;28;160;69;37;47;7;8;18;10;807
"A05   Outr intox alimentares bacter NCOP";-;-;3;1;2;-;-;3;-;4;1;1;3;-;-;-;-;-;-;2;1;1;-;-;-;1;-;23
"A06   Amebiase";-;1;1;-;1;-;-;5;-;-;9;3;1;-;-;4;9;1;2;7;1;1;3;-;-;3;-;52
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"A08   Infecc intestinais virais outr e as NE";-;-;1;-;5;-;-;3;7;12;5;4;3;2;5;9;11;-;4;16;9;6;9;-;1;3;-;115
"A09   Diarreia e gastroenterite orig infecc presum";13;22;142;27;136;12;16;100;120;248;70;56;280;74;65;291;353;55;226;785;191;84;203;59;66;105;57;3856
"A15   Tuberc respirat c/conf bacteriol e histolog";4;6;74;7;70;-;8;102;14;69;10;27;116;6;8;42;36;24;92;194;76;32;75;12;24;24;2;1154
"A16   Tuberc vias respirat s/conf bacter histol";12;19;71;10;168;13;4;58;42;129;56;31;223;64;25;256;182;49;520;578;69;37;168;30;42;34;24;2914
"A17   Tuberc do sist nervoso";-;-;8;2;4;-;-;2;-;4;4;2;4;3;2;5;3;2;11;28;3;5;10;4;-;1;2;109
"A18   Tuberc de outr orgaos";1;1;7;1;3;-;-;5;2;5;1;-;9;1;1;9;11;3;12;17;4;1;15;3;2;3;1;118
"A19   Tuberc miliar";2;2;10;-;10;-;-;6;1;10;4;2;21;2;-;6;9;10;29;84;5;5;12;1;3;3;-;237
"A21   Tularemia";-;-;-;-;-;-;-;3;-;1;-;-;1;-;-;2;-;2;1;5;-;-;1;-;-;-;-;16
"A22   Carbunculo";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"A24   Mormo e melioidose";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A26   Erisipeloide";-;4;1;-;3;-;-;-;-;2;-;1;2;1;-;1;1;-;1;2;1;-;1;-;1;-;-;22
"A27   Leptospirose";-;-;8;-;14;5;-;5;-;23;4;3;38;7;8;16;16;2;44;79;31;8;30;1;1;2;2;347
"A28   Outr doenc bacter zoonoticas NCOP";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
