Categoria_CID;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
"A01   Febres tifoide e paratifoide";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"A02   Outr infecc p/Salmonella";-;-;1;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;1;3;-;1;1;-;-;-;-;11
"A03   Shiguelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"A04   Outr infecc intestinais bacter";3;1;5;-;31;-;3;46;26;55;36;13;43;12;6;80;82;12;28;168;48;31;70;18;16;15;6;854
"A05   Outr intox alimentares bacter NCOP";-;1;-;-;2;-;-;2;-;5;2;-;3;-;-;-;1;-;2;2;4;-;1;-;-;4;-;29
"A06   Amebiase";-;-;-;-;3;-;-;3;-;2;4;1;1;1;1;7;1;1;1;7;2;-;-;-;-;-;-;35
"A07   Outr doenc intestinais p/protozoarios";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3
"A08   Infecc intestinais virais outr e as NE";-;-;2;-;2;-;3;4;4;5;2;2;3;1;-;10;12;-;-;11;2;5;5;-;-;2;-;75
"A09   Diarreia e gastroenterite orig infecc presum";8;16;127;16;115;3;15;79;90;182;59;54;242;65;57;251;294;62;173;631;159;71;144;33;39;73;57;3115
"A15   Tuberc respirat c/conf bacteriol e histolog";12;4;84;2;72;3;6;91;32;69;16;27;94;11;4;45;57;29;138;212;72;25;74;29;26;28;6;1268
"A16   Tuberc vias respirat s/conf bacter histol";14;30;52;11;159;10;7;55;25;82;52;29;202;54;30;258;151;48;583;636;55;41;168;37;44;40;19;2892
"A17   Tuberc do sist nervoso";2;1;4;1;4;-;-;2;4;7;2;1;9;-;1;5;12;3;9;17;4;6;15;2;1;3;-;115
"A18   Tuberc de outr orgaos";1;-;6;-;4;-;-;1;2;5;1;-;3;-;-;4;3;2;12;14;4;2;6;1;1;2;3;77
"A19   Tuberc miliar";-;-;2;1;9;1;-;3;-;9;7;4;10;3;-;12;19;3;23;62;4;7;20;4;6;7;1;217
"A21   Tularemia";-;-;-;-;-;-;-;1;-;-;2;-;4;-;-;4;1;1;1;3;2;-;-;-;-;-;1;20
"A22   Carbunculo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A23   Brucelose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"A24   Mormo e melioidose";-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A25   Febres transm p/mordedura de rato";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"A26   Erisipeloide";-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;3;2;-;-;2;-;-;-;-;-;1;1;12
"A27   Leptospirose";2;1;3;1;19;1;-;1;1;9;-;2;28;2;7;17;16;4;26;59;16;4;11;-;-;2;1;233
"A28   Outr doenc bacter zoonoticas NCOP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"A30   Hanseniase";2;-;3;-;4;-;4;20;6;13;4;3;7;1;-;8;3;3;3;11;9;1;-;1;3;6;1;116
"A31   Infecc dev outr micobacterias";3;-;1;-;19;-;1;5;1;44;65;89;2;22;1;16;10;-;2;35;13;4;5;1;-;5;1;345
"A32   Listeriose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;4;1;-;-;-;-;-;-;7
"A35   Outr tipos de tetano";1;1;3;-;4;-;-;4;1;4;-;2;5;1;2;6;5;2;3;4;3;2;7;1;1;4;-;66
"A37   Coqueluche";-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;5
"A39   Infecc meningogocica";1;1;1;-;2;-;-;1;-;6;-;2;-;-;-;7;7;1;11;27;-;2;7;2;-;4;-;82
"A40   Septicemia estreptococica";-;-;1;-;4;-;-;6;1;8;2;5;2;2;-;3;13;-;9;9;1;3;3;-;-;-;-;72
"A41   Outr septicemias";115;62;201;32;615;80;39;586;234;982;323;515;818;369;174;1169;2822;166;4059;3962;705;573;1107;145;308;306;114;20581
"A42   Actinomicose";-;-;1;-;2;-;-;1;-;2;-;-;-;1;-;2;6;-;1;6;-;1;-;-;-;-;-;23
"A43   Nocardiose";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;4
"A44   Bartonelose";-;-;-;-;-;-;-;-;-;8;-;1;-;-;-;1;1;1;1;1;-;-;2;-;-;1;-;17
"A46   Erisipela";10;4;27;2;78;2;15;45;53;137;60;70;116;62;46;147;134;67;265;487;46;32;62;18;19;39;17;2060
"A48   Outr doenc bacter NCOP";1;-;4;1;191;-;-;16;3;14;7;7;40;5;-;8;24;3;13;76;77;7;10;8;28;1;3;547
"A49   Infecc bacter de localiz NE";1;1;3;1;24;1;1;20;6;17;8;6;16;5;1;18;36;2;9;60;9;10;33;4;1;2;-;295
"A50   Sifilis congen";4;2;12;-;10;3;-;3;5;5;2;2;9;3;3;10;10;2;45;30;5;4;7;2;6;8;2;194
"A51   Sifilis precoce";-;-;-;-;-;-;-;1;-;1;2;-;1;-;-;-;2;-;-;-;-;-;-;-;1;1;-;9
"A52   Sifilis tard";1;-;-;-;2;-;-;1;1;4;1;1;4;-;1;2;10;1;3;12;6;4;9;1;1;3;-;68
"A53   Outr form e as NE da sifilis";-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;4;-;-;2;-;-;2;-;-;-;-;11
"A54   Infecc gonococica";-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"A58   Granuloma inguinal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3
"A59   Tricomoniase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
