Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
A01   Febres tifoide e paratifoide;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
A02   Outr infecc p/Salmonella;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
A04   Outr infecc intestinais bacter;1;1;-;-;12;-;1;6;1;5;3;-;-;2;-;3;-;-;4;5;6;2;-;-;1;1;-;54
A05   Outr intox alimentares bacter NCOP;-;1;-;-;-;-;-;2;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;8
A06   Amebiase;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
A07   Outr doenc intestinais p/protozoarios;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A08   Infecc intestinais virais outr e as NE;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;4
A09   Diarreia e gastroenterite orig infecc presum;-;14;46;9;25;-;4;27;4;23;2;7;29;6;10;26;17;9;29;27;8;4;5;5;18;7;2;363
A15   Tuberc respirat c/conf bacteriol e histolog;2;-;8;-;-;-;-;1;1;-;-;-;-;1;-;1;-;1;1;3;-;-;-;1;1;-;-;21
A16   Tuberc vias respirat s/conf bacter histol;-;2;1;2;2;2;-;1;-;1;-;1;3;3;2;5;-;1;6;9;1;-;2;-;1;2;1;48
A17   Tuberc do sist nervoso;-;-;-;1;-;-;-;-;-;-;2;-;2;-;-;2;2;1;5;-;1;-;1;-;1;-;-;18
A18   Tuberc de outr orgaos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;5
A19   Tuberc miliar;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;2;-;-;1;2;-;-;-;-;-;-;-;9
A27   Leptospirose;1;-;1;1;1;-;-;-;-;1;-;-;-;-;1;-;1;-;-;2;-;-;-;-;-;-;-;9
A31   Infecc dev outr micobacterias;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A35   Outr tipos de tetano;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A37   Coqueluche;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
A39   Infecc meningogocica;1;-;2;-;1;-;-;-;-;1;-;1;-;-;-;3;4;1;8;16;-;2;2;-;-;2;-;44
A40   Septicemia estreptococica;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;5
A41   Outr septicemias;11;2;36;3;58;22;4;43;29;39;15;16;28;20;12;72;49;9;77;125;26;13;17;5;28;18;4;781
A42   Actinomicose;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A46   Erisipela;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;4
A48   Outr doenc bacter NCOP;-;-;2;-;4;-;-;1;1;-;-;-;2;-;-;1;1;-;1;3;-;-;-;-;1;-;-;17
A49   Infecc bacter de localiz NE;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;2;-;1;2;-;-;-;-;-;-;-;8
A50   Sifilis congen;4;2;12;-;10;3;-;3;5;5;2;2;9;3;3;10;10;2;45;28;5;4;7;2;6;7;3;192
A52   Sifilis tard;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A58   Granuloma inguinal;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A60   Infecc anogenitais p/virus do herpes;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
A66   Bouba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
A69   Outr infecc p/espiroquetas;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A77   Febre maculosa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;6
A81   Infecc p/virus atipicos sist nervoso central;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
A86   Encefalite viral NE;1;1;2;1;4;1;-;1;-;-;-;-;-;1;-;5;-;1;1;4;2;-;-;-;-;1;1;27
A87   Meningite viral;-;-;-;-;1;-;-;-;-;2;-;3;1;-;-;-;-;1;-;1;-;2;1;-;3;-;-;15
A89   Infecc virais NE do sist nervoso central;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
A90   Dengue;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;2;6;-;-;2;-;2;2;16
A91   Febre hemorragica dev virus do dengue;-;2;-;-;-;-;-;4;1;1;-;1;4;1;1;3;3;-;1;6;5;-;-;1;5;2;1;42
A92   Outr febres virais transm p/mosquitos;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;5
A94   Febre viral transm p/artropodes NE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
A96   Febre hemorragica p/arenavirus;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
A98   Outr febres hemorragicas p/virus NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
A99   Febres hemorragicas virais NE;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;5
B00   Infecc p/virus do herpes;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;1;-;9
B01   Varicela;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4
B05   Sarampo;1;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;11
B15   Hepatite aguda A;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
B16   Hepatite aguda B;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
B18   Hepatite viral cronica;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4
B19   Hepatite viral NE;-;1;1;-;2;-;-;-;-;-;-;-;2;-;-;-;2;-;-;1;-;-;-;-;1;-;-;10
B20   Doenc p/HIV result doenc infecc e parasit;-;-;2;1;10;-;-;1;-;1;-;1;5;-;-;7;4;1;7;5;2;1;1;-;3;-;-;52
B21   Doenc p/HIV result em neopl malig;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
B22   Doenc p/HIV result em outr doenc espec;-;-;1;-;2;-;-;1;-;-;-;2;1;-;1;1;1;-;3;-;-;-;1;-;-;1;-;15
B24   Doenc p/HIV NE;-;-;-;-;2;-;-;2;-;-;-;-;1;-;-;3;-;-;3;2;-;2;-;-;-;-;-;15
B25   Doenc p/citomegalovirus;-;-;-;-;2;-;-;2;-;1;2;-;2;-;-;2;-;-;1;4;-;-;2;-;1;-;-;19
B26   Caxumba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
B27   Mononucleose infecc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
B33   Outr doenc p/virus NCOP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;3
B34   Doenc p/virus de localiz NE;24;14;55;25;91;7;7;44;23;61;17;22;81;36;42;90;37;23;89;132;22;17;19;4;28;23;6;1039
B37   Candidiase;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;3;1;4;-;6;1;-;-;-;-;-;-;18
B39   Histoplasmose;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
