Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
A02   Outr infecc p/Salmonella;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
A04   Outr infecc intestinais bacter;-;2;-;2;13;-;2;11;1;3;2;4;2;-;1;13;3;-;4;8;3;1;-;1;3;5;-;84
A05   Outr intox alimentares bacter NCOP;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
A06   Amebiase;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4
A07   Outr doenc intestinais p/protozoarios;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
A08   Infecc intestinais virais outr e as NE;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;1;4;-;-;1;1;-;1;1;1;-;-;14
A09   Diarreia e gastroenterite orig infecc presum;5;14;40;25;40;2;4;21;9;19;2;7;26;19;6;23;8;6;22;29;3;5;4;7;14;9;7;376
A15   Tuberc respirat c/conf bacteriol e histolog;-;-;2;1;2;-;1;2;-;1;-;-;1;1;-;-;-;3;8;4;1;-;1;-;-;-;-;28
A16   Tuberc vias respirat s/conf bacter histol;1;1;3;1;5;-;-;-;1;-;-;1;3;1;1;2;1;-;13;5;1;2;6;3;2;-;1;54
A17   Tuberc do sist nervoso;-;-;-;-;2;-;-;-;-;-;1;1;1;-;-;-;-;-;3;1;1;1;1;1;-;-;-;13
A18   Tuberc de outr orgaos;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;6
A19   Tuberc miliar;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;3;3;-;-;-;-;-;-;-;10
A27   Leptospirose;-;-;1;-;1;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;2;-;-;-;-;-;-;8
A31   Infecc dev outr micobacterias;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;5
A36   Difteria;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A37   Coqueluche;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
A38   Escarlatina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
