Categoria CID-10;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
A02   Outr infecc p/Salmonella;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;6
A04   Outr infecc intestinais bacter;-;1;1;-;11;-;-;4;1;6;-;4;-;1;1;7;-;1;8;7;1;1;2;1;2;1;1;62
A05   Outr intox alimentares bacter NCOP;-;-;1;-;2;-;-;1;-;4;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;10
A06   Amebiase;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
A08   Infecc intestinais virais outr e as NE;-;-;1;-;3;-;-;1;1;1;-;-;-;-;-;2;-;-;1;1;4;-;1;-;1;-;-;17
A09   Diarreia e gastroenterite orig infecc presum;3;15;51;18;36;6;3;26;4;26;3;4;34;11;9;32;32;5;29;56;14;5;13;8;25;18;6;492
A15   Tuberc respirat c/conf bacteriol e histolog;-;-;2;1;2;-;-;5;1;-;1;2;-;-;-;-;-;-;1;4;1;-;1;-;1;-;-;22
A16   Tuberc vias respirat s/conf bacter histol;-;-;3;3;2;-;-;2;2;1;2;1;5;1;-;4;-;2;6;5;-;-;2;1;1;1;-;44
A17   Tuberc do sist nervoso;-;-;2;1;1;-;-;-;-;-;1;-;1;2;-;1;-;1;3;3;-;-;-;-;-;-;-;16
A18   Tuberc de outr orgaos;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;1;1;-;1;1;-;-;-;7
A19   Tuberc miliar;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;-;-;1;-;-;-;-;9
A21   Tularemia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
A27   Leptospirose;-;-;1;-;2;1;-;1;-;-;2;-;1;-;2;1;1;-;2;4;1;1;-;-;1;-;-;21
A30   Hanseniase;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
A31   Infecc dev outr micobacterias;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
A33   Tetano do recem-nascido;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
A35   Outr tipos de tetano;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
A36   Difteria;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
A37   Coqueluche;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;-;6
A39   Infecc meningogocica;-;-;2;1;6;1;-;2;1;5;2;1;4;1;-;6;9;1;6;24;7;5;8;1;1;5;4;103
