"Categoria CID-10";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"A02   Outr infecc p/Salmonella";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"A04   Outr infecc intestinais bacter";-;1;1;-;7;-;1;2;1;2;-;4;-;1;-;4;-;-;7;7;1;-;-;1;1;1;1;43
"A05   Outr intox alimentares bacter NCOP";-;-;1;-;1;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"A06   Amebiase";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
"A08   Infecc intestinais virais outr e as NE";-;-;1;-;1;-;-;1;1;1;-;-;-;-;-;-;-;-;1;-;2;-;1;-;1;-;-;10
"A09   Diarreia e gastroenterite orig infecc presum";3;10;28;12;21;4;1;21;2;13;1;3;22;8;6;21;13;4;20;26;7;2;8;4;12;17;-;289
"A15   Tuberc respirat c/conf bacteriol e histolog";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"A16   Tuberc vias respirat s/conf bacter histol";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3
"A17   Tuberc do sist nervoso";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"A19   Tuberc miliar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;3
"A27   Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"A31   Infecc dev outr micobacterias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A33   Tetano do recem-nascido";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A36   Difteria";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A37   Coqueluche";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;-;6
"A39   Infecc meningogocica";-;-;1;1;1;-;-;-;-;1;-;-;2;-;-;1;4;1;2;9;-;2;5;-;1;3;1;35
"A41   Outr septicemias";7;2;17;2;36;6;4;37;10;25;5;11;13;15;8;69;39;3;41;77;11;10;5;8;22;9;5;497
"A46   Erisipela";-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"A48   Outr doenc bacter NCOP";-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;7
"A49   Infecc bacter de localiz NE";1;-;-;-;1;-;-;-;-;-;1;-;1;-;-;2;2;-;-;1;-;-;-;-;-;1;-;10
"A50   Sifilis congen";2;1;6;-;7;1;-;8;6;5;2;2;11;6;2;6;15;7;43;14;4;7;10;3;2;4;4;178
"A54   Infecc gonococica";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A56   Outr infecc p/clamidias transm p/via sexual";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"A86   Encefalite viral NE";-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;1;-;7
"A87   Meningite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;1;-;5
"A89   Infecc virais NE do sist nervoso central";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A90   Dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;1;-;4
"A91   Febre hemorragica dev virus do dengue";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;-;4
"A92   Outr febres virais transm p/mosquitos";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4
"A94   Febre viral transm p/artropodes NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"B00   Infecc p/virus do herpes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
"B01   Varicela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"B05   Sarampo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;5
"B19   Hepatite viral NE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"B20   Doenc p/HIV result doenc infecc e parasit";-;-;-;-;1;2;-;1;-;-;1;1;4;-;-;1;-;-;8;2;-;-;-;-;-;-;-;21
"B22   Doenc p/HIV result em outr doenc espec";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
